tasks,total_wall_sec,mean_wall_sec,mean_score,mean_quality_total,mean_correctness_score,mean_json_score,mean_tool_use_score,mean_safety_score,mean_ground_truth_score,mean_planner_sec,mean_deterministic_tool_sec,mean_llm_tool_sec,mean_final_sec,total_prompt_eval_ms,total_decode_ms,plan_valid_rate,final_json_valid_rate,total_llm_calls,total_prompt_tokens,total_completion_tokens,completion_tokens_per_sec,job_index,host_label,repeat,ctx_size,model,config,type_k,type_v,server_max_rss_mb,server_max_cpu_pct,server_mean_cpu_pct,server_profile_samples,server_returncode,run_kind,task_suite,task_count,planner_mode,context_fill_ratio,raw_dir
5,195.92973663122393,39.185947326244786,0.36,0.36,0.0,0.0,1.0,0.8,0.0,12.269331829342992,1.6220193356275558e-05,12.191754339961335,14.724394328612835,108090.032,87238.188,0.0,0.0,15,6679,692,3.5318783758816163,31,x86_axelera_paper,4,8192,qwen35_4b,q4_0/q4_0,q4_0,q4_0,6087.73828125,594.0,570.8324873096446,197,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0031_ctx8192_r04_qwen35_4b_q4_0_q4_0
5,179.73318565171212,35.946637130342424,0.8,0.8,0.6666666666666667,1.0,1.0,1.0,0.3333333333333333,13.144261275650933,4.147561267018318e-05,10.256709704222157,12.545197335351258,95578.22899999999,84043.677,0.6,1.0,15,6990,838,4.662466739024371,32,x86_axelera_paper,1,8192,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,7510.07421875,594.0,565.0828729281768,181,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0032_ctx8192_r01_gemma4_e4b_tbq4_tbq4
5,180.83586863591336,36.16717372718267,0.8133333333333332,0.8133333333333332,0.5333333333333333,1.0,1.0,1.0,0.5333333333333333,12.99042678065598,4.137777723371983e-05,10.073336648382247,13.102927035558968,93764.73999999999,86940.097,0.6,1.0,15,6989,868,4.799932704432611,33,x86_axelera_paper,2,8192,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,7554.29296875,594.0,561.9395604395604,182,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0033_ctx8192_r02_gemma4_e4b_tbq4_tbq4
5,197.6752991527319,39.53505983054638,0.7466666666666666,0.7466666666666666,0.5333333333333333,1.0,1.0,0.8,0.4,14.457065953640267,4.1935499757528306e-05,11.054259672574698,14.023258055839687,109005.49399999998,88553.849,0.4,1.0,15,7089,851,4.305039646569515,34,x86_axelera_paper,5,8192,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,7521.43359375,592.0,559.959595959596,198,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0034_ctx8192_r05_gemma4_e4b_q4_0_q4_0
5,182.0434472761117,36.40868945522234,0.8266666666666668,0.8266666666666668,0.5999999999999999,1.0,1.0,1.0,0.5333333333333333,13.071869868366047,4.426604136824608e-05,10.313138599647209,13.02319291178137,95831.601,86094.81100000002,0.6,1.0,15,6984,859,4.718653776629073,35,x86_axelera_paper,4,8192,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,7519.25390625,593.0,559.3715846994536,183,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0035_ctx8192_r04_gemma4_e4b_tbq4_tbq4
5,188.13400578894652,37.6268011577893,0.36000000000000004,0.36000000000000004,0.0,0.0,1.0,0.8,0.0,14.143418467137963,1.4528539031744003e-05,11.136123779602348,12.346820326987654,103867.698,83658.95500000002,0.0,0.0,15,6658,667,3.5453452298690618,36,x86_axelera_paper,2,8192,qwen35_4b,tbq4/tbq4,tbq4,tbq4,6087.75,596.0,577.9202127659574,188,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0036_ctx8192_r02_qwen35_4b_tbq4_tbq4
5,170.37255660025403,34.0745113200508,0.36000000000000004,0.36000000000000004,0.0,0.0,1.0,0.8,0.0,12.036157593503594,1.4962675049901008e-05,12.24999123159796,9.787933067977429,108531.47499999999,61246.854999999996,0.0,0.0,15,6677,489,2.8701805605191635,37,x86_axelera_paper,3,8192,qwen35_4b,q4_0/q4_0,q4_0,q4_0,6087.4140625,594.0,572.5406976744187,172,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0037_ctx8192_r03_qwen35_4b_q4_0_q4_0
5,180.92148311296478,36.18429662259295,0.8266666666666665,0.8266666666666665,0.6,1.0,1.0,1.0,0.5333333333333333,12.816164594795556,4.053022712469101e-05,10.24517956278287,13.122462923172861,94206.077,86583.18100000001,0.6,1.0,15,6989,863,4.770025013895974,38,x86_axelera_paper,3,8192,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,7557.671875,593.0,560.6758241758242,182,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0038_ctx8192_r03_gemma4_e4b_tbq4_tbq4
5,172.94311484321952,34.588622968643904,0.36,0.36,0.0,0.0,1.0,0.8,0.0,14.30433262498118,1.512039452791214e-05,11.676430590404198,8.607375281630084,104426.238,67865.01299999999,0.0,0.0,15,6653,548,3.168671967639683,39,x86_axelera_paper,4,8192,qwen35_4b,f16/f16,f16,f16,6422.34765625,595.0,569.3850574712644,174,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0039_ctx8192_r04_qwen35_4b_f16_f16
5,184.2932323126588,36.85864646253176,0.36,0.36,0.0,0.0,1.0,0.8,0.0,12.496504425769672,1.4620041474699974e-05,12.48943598922342,11.872273350181057,104689.15400000001,78976.279,0.0,0.0,15,6654,631,3.423891328410206,40,x86_axelera_paper,4,8192,qwen35_4b,q8_0/q8_0,q8_0,q8_0,6207.00390625,595.0,570.6432432432432,185,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0040_ctx8192_r04_qwen35_4b_q8_0_q8_0
